Unnamed: 0,job_title,company_name,location,job_link,date_scraped,city,state
23,Data Governance Analyst,Red Bull,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/data-governance-analyst-12m-ftc-at-red-bull-4312548060?position=24&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=%2Bx9ZAvUn7HS4nj6U3%2BSZbQ%3D%3D,2025-10-24,Sydney,New South Wales
24,Graduate Data Specialist,Seisma Group,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/graduate-data-specialist-analyst-engineer-at-seisma-group-4314231563?position=25&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=7RMYRCPGO1ABicoP64vF7w%3D%3D,2025-10-24,Melbourne,Victoria
25,Supply Chain Analyst,Aldi Stores Australia,"Minchinbury, New South Wales, Australia",https://au.linkedin.com/jobs/view/supply-chain-analyst-at-aldi-stores-australia-4314644095?position=26&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=tberYTqTeVZjUkmfxHYbNA%3D%3D,2025-10-24,Minchinbury,New South Wales
26,Technical Service Analyst,Illawarra Mercury,"Coniston, New South Wales, Australia",https://au.linkedin.com/jobs/view/technical-service-analyst-at-illawarra-mercury-4318205696?position=27&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=vHe2mqOewSl3Fz%2FmHfgmgg%3D%3D,2025-10-24,Coniston,New South Wales
27,Data Analyst,Taskify,Australia,https://au.linkedin.com/jobs/view/data-analyst-remote-at-taskify-4318787035?position=28&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=ikMbAXvXSDPpkF11xXtM8g%3D%3D,2025-10-24,,
28,Business Analyst,Gold Corporation - The Perth Mint,"East Perth, Western Australia, Australia",https://au.linkedin.com/jobs/view/business-analyst-at-gold-corporation-the-perth-mint-4307242378?position=29&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=VnqNMqAbVDrpBTaeFb1HXw%3D%3D,2025-10-24,East Perth,Western Australia
29,"Analyst, China, Climate Change Think Tank",Influencemap,"Canberra, Australian Capital Territory, Australia",https://au.linkedin.com/jobs/view/analyst-china-climate-change-think-tank-at-influencemap-4308944121?position=30&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=6SCDeGTkvqxY6vF4Z5IpVg%3D%3D,2025-10-24,Canberra,Australian Capital Territory
30,Graduate Data And Reporting Analyst,Careers At Council,"Maitland, New South Wales, Australia",https://au.linkedin.com/jobs/view/graduate-data-and-reporting-analyst-at-careers-at-council-4316089833?position=31&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=LKDKmViWMKIEgUgxzIROdw%3D%3D,2025-10-24,Maitland,New South Wales
31,Junior Business Consultant,Success Tutoring,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/junior-business-consultant-at-success-tutoring-4308188623?position=32&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=PuJ6oERR6baWbhcKv%2Fj8Kg%3D%3D,2025-10-24,Melbourne,Victoria
32,Business Analyst,Habitat Energy,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/business-analyst-at-habitat-energy-4306669112?position=33&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=Kspg4SR1V3fG%2B7XrE20ICw%3D%3D,2025-10-24,Melbourne,Victoria
33,Data Analyst,Easygo,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/data-analyst-at-easygo-4292851087?position=34&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=%2Bm2UgxetG41IZeQwxEjFsw%3D%3D,2025-10-24,Melbourne,Victoria
34,"Research Analyst, Utilities, Infrastructure, Energy & Sustainability",Morgan Stanley,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/research-analyst-utilities-infrastructure-energy-sustainability-at-morgan-stanley-4303371058?position=35&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=pgENyndyD7MCwO6y66r19g%3D%3D,2025-10-24,Sydney,New South Wales
35,Service Desk Analyst,Centorrino Technologies,"Orange, New South Wales, Australia",https://au.linkedin.com/jobs/view/service-desk-analyst-at-centorrino-technologies-4312386963?position=36&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=dJmzrOFTRtrCUKts2NdqHg%3D%3D,2025-10-24,Orange,New South Wales
36,Customer Success Analyst,Cotiviti,Australia,https://au.linkedin.com/jobs/view/customer-success-analyst-at-cotiviti-4310326085?position=37&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=4IgGAjqS%2BK%2Bq4E4LeGSVjQ%3D%3D,2025-10-24,,
37,Business Analyst,Sunshine Coast Council,"Maroochydore, Queensland, Australia",https://au.linkedin.com/jobs/view/business-analyst-at-sunshine-coast-council-4318765510?position=38&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=jtsuu3KTJM5is09cozh0dA%3D%3D,2025-10-24,Maroochydore,Queensland
38,Supply Analyst,Tier 1 Procurement Pty Ltd,"Henderson, Western Australia, Australia",https://au.linkedin.com/jobs/view/supply-analyst-at-tier-1-procurement-pty-ltd-4316432785?position=39&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=7E%2B0TO1sVDJJ3%2F7yQO1lpA%3D%3D,2025-10-24,Henderson,Western Australia
39,Junior Analyst,Fenero - Bespoke Finance,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/junior-analyst-broker-support-at-fenero-bespoke-finance-4316191711?position=40&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=B%2Fq76qt82yp6ZVeESnjGPw%3D%3D,2025-10-24,Sydney,New South Wales
40,Junior Corporate Reporting Analyst,Alfred Health,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/junior-corporate-reporting-analyst-at-alfred-health-4310276759?position=41&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=LSKwHD6xl0DA5a0kZAG6kA%3D%3D,2025-10-24,Melbourne,Victoria
41,Football Performance Analyst,Western Bulldogs,"Footscray, Victoria, Australia",https://au.linkedin.com/jobs/view/football-performance-analyst-at-western-bulldogs-4315126509?position=42&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=SD1%2FRi2qIzGMgm1VDWTLpg%3D%3D,2025-10-24,Footscray,Victoria
42,Business Analyst,The Royal Melbourne Hospital,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/business-analyst-at-the-royal-melbourne-hospital-4316069487?position=43&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=%2BMgX934Z53oNDcfGQW%2BA7w%3D%3D,2025-10-24,Melbourne,Victoria
43,Service Desk Analyst,Atturra,"Millers Point, New South Wales, Australia",https://au.linkedin.com/jobs/view/service-desk-analyst-at-atturra-4318204512?position=44&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=7%2BKCHiOINfBKfTB3bHwKJw%3D%3D,2025-10-24,Millers Point,New South Wales
44,Data Analyst,Gamblingcareers.Com,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/data-analyst-at-gamblingcareers-com-4315360924?position=45&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=Ioq2H1hhgnY5Hsw%2BdfMbng%3D%3D,2025-10-24,Melbourne,Victoria
45,"Analyst, Investment Funds Research Private Markets",Nab,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/analyst-investment-funds-research-private-markets-any-capital-city-at-nab-4316219132?position=46&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=2CQgsxcFr%2BE8do4uGsUEjg%3D%3D,2025-10-24,Sydney,New South Wales
46,Business Analyst,Dxc Technology,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/business-analyst-at-dxc-technology-4317072542?position=47&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=%2FmcwPnaR3mZMW054FxbC5A%3D%3D,2025-10-24,Melbourne,Victoria
47,"Analyst, Investment Funds Research Private Markets",Nab,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/analyst-investment-funds-research-private-markets-any-capital-city-at-nab-4316213201?position=48&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=BxQ6mvfvxZXXkz3%2F%2B%2FqI9Q%3D%3D,2025-10-24,Melbourne,Victoria
48,Business Analyst,Alinta Energy,Greater Sydney Area,https://au.linkedin.com/jobs/view/business-analyst-at-alinta-energy-4313743368?position=49&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=Tkq40095Qj1vw4tSTbSf2w%3D%3D,2025-10-24,,
49,Analyst,Gemba,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/analyst-at-gemba-4309308428?position=50&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=Ibh4tn96c5GnWIWNQstAZA%3D%3D,2025-10-24,Sydney,New South Wales
50,Service Desk Analyst,Atturra,"Perth, Western Australia, Australia",https://au.linkedin.com/jobs/view/service-desk-analyst-at-atturra-4315633541?position=51&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=mreupDX9zdTW4wKN6n98og%3D%3D,2025-10-24,Perth,Western Australia
51,Supply Chain Analyst,Eaton,"Mascot, New South Wales, Australia",https://au.linkedin.com/jobs/view/supply-chain-analyst-at-eaton-4288556033?position=52&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=GFthe5XJ9aj0aky08lewfg%3D%3D,2025-10-24,Mascot,New South Wales
52,Investment Operations Analyst,Realm Investment House,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/investment-operations-analyst-at-realm-investment-house-4317740779?position=53&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=aCLnGciQ3fhiJ9fS%2By3WxA%3D%3D,2025-10-24,Melbourne,Victoria
53,Quantitative Sports Analyst,Zeroflucs,"Brisbane, Queensland, Australia",https://au.linkedin.com/jobs/view/quantitative-sports-analyst-at-zeroflucs-4307019845?position=54&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=syEsCFJAaq%2BUUHU6YIH%2BTg%3D%3D,2025-10-24,Brisbane,Queensland
54,Business Intelligence Analyst,Flinders Port Holdings Pty Limited,"Adelaide, South Australia, Australia",https://au.linkedin.com/jobs/view/business-intelligence-analyst-at-flinders-port-holdings-pty-limited-4305845841?position=55&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=%2F%2BDiBykoBU5UBZiKjArWvg%3D%3D,2025-10-24,Adelaide,South Australia
55,Ai Agent Evaluation Analyst,Mindrift,Australia,https://au.linkedin.com/jobs/view/ai-agent-evaluation-analyst-at-mindrift-4314129740?position=56&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=9t4%2F6uSXlHMh7F7RTZDPLw%3D%3D,2025-10-24,,
56,Ai Agent Evaluation Analyst,Mindrift,Australia,https://au.linkedin.com/jobs/view/ai-agent-evaluation-analyst-at-mindrift-4314131679?position=57&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=NEXb4g7qFqDQN3R7FuWswA%3D%3D,2025-10-24,,
57,Associate Technical Business Analyst,Talenza,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/associate-technical-business-analyst-at-talenza-4311336010?position=58&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=jtvvscjy0c%2FPGatb5ZTCdw%3D%3D,2025-10-24,Sydney,New South Wales
58,"Analyst, Investment Funds Research Private Markets",Nab,"Darwin, Northern Territory, Australia",https://au.linkedin.com/jobs/view/analyst-investment-funds-research-private-markets-any-capital-city-at-nab-4316230021?position=59&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=km4weYt4XqdhCLSgZ%2FBTKw%3D%3D,2025-10-24,Darwin,Northern Territory
59,Ai Agent Evaluation Analyst,Mindrift,Australia,https://au.linkedin.com/jobs/view/ai-agent-evaluation-analyst-at-mindrift-4314127898?position=60&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=Cz0Hd5s1lqkaiPbQpdScWg%3D%3D,2025-10-24,,
60,Supply Chain Analyst,Aldi Stores Australia,"Minchinbury, New South Wales, Australia",https://au.linkedin.com/jobs/view/supply-chain-analyst-at-aldi-stores-australia-4314644095?position=1&pageNum=2&refId=N6G8vZ2VNDaGi88dLgyH0Q%3D%3D&trackingId=yOMVSFK40Hfv4HWqtoje9A%3D%3D,2025-10-24,Minchinbury,New South Wales
